Hyperparameter Set,Run,MSE,MRRt,BTL,,
Average,,0.00022708,0.03000839,2.038394645,,
,,,,,,
Set 8,1,0.000227336,0.026710948,1.480294225,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.95.json'}"
Set 8,2,0.000227339,0.026719827,1.487323235,,
Set 8,3,0.000227334,0.026710948,1.480294225,,
Set 8,4,0.000227339,0.026719972,1.490753513,,
Set 8,5,0.000227323,0.026710948,1.480294225,,
Average,,0.000227334,0.026714529,1.483791884,,
,,,,,,
Set 9,1,0.000225981,0.032310132,2.933736727,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.975.json'}"
Set 9,2,0.000225975,0.032332698,3.066045412,,
Set 9,3,0.000225981,0.032310132,2.933736727,,
Set 9,4,0.000225991,0.032310132,2.933736727,,
Set 9,5,0.000225984,0.032327872,2.944331251,,
Average,,0.000225982,0.032318193,2.962317369,,
,,,,,,
Set 10,1,0.000229428,0.034530524,2.92076396,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.99.json'}"
Set 10,2,0.000229438,0.034575064,2.948093621,,
Set 10,3,0.000229463,0.03457527,2.958236848,,
Set 10,4,0.000229498,0.03457527,2.958236848,,
Set 10,5,0.000229523,0.03457527,2.958236848,,
Average,,0.00022947,0.03456628,2.948713625,,
