Hyperparameter Set,Run,MSE,MRRt,BTL,,
Set 1,1,0.00022676,0.041801206,2.160222477,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.9.json'}"
Set 1,2,0.000226761,0.042545934,2.236762805,,
Set 1,3,0.00022676,0.043201095,2.261304157,,
Set 1,4,0.00022675,0.042475594,2.24248891,,
Set 1,5,0.000226757,0.043204107,2.258426099,,
Average,,0.000226757,0.042645587,2.23184089,,
,,,,,,
Set 2,1,0.00022702,0.058270733,3.05784036,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.925.json'}"
Set 2,2,0.000227027,0.058266948,3.03644641,,
Set 2,3,0.000227018,0.058510532,3.068378616,,
Set 2,4,0.000227022,0.058278758,3.092023214,,
Set 2,5,0.000227021,0.058266948,3.03644641,,
Average,,0.000227022,0.058318784,3.058227002,,
,,,,,,
Set 3,1,0.000226335,0.057010718,3.188108517,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.95.json'}"
Set 3,2,0.000226318,0.057010718,3.188108517,,
Set 3,3,0.000226326,0.057010718,3.188108517,,
Set 3,4,0.00022634,0.057010718,3.188108517,,
Set 3,5,0.00022633,0.057010718,3.188108517,,
Average,,0.00022633,0.057010718,3.188108517,,
,,,,,,
Set 4,1,0.000226836,0.046728279,3.085083303,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.975.json'}"
Set 4,2,0.000226824,0.046746504,3.098665055,,
Set 4,3,0.000226835,0.046728196,3.082021765,,
Set 4,4,0.00022719,0.035398113,2.983823833,,
Set 4,5,0.000226814,0.049674835,3.269785129,,
Average,,0.0002269,0.045055185,3.103875817,,
,,,,,,
Set 5,1,0.000230801,0.035634946,0.390286244,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'wikidata', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.99.json'}"
Set 5,2,0.000228775,0.011549055,0.167207527,,
Set 5,3,0.000230309,0.020404349,0.820977973,,
Set 5,4,0.000229415,0.020361412,0.881230862,,
Set 5,5,0.000229463,0.043104398,1.12876065,,
Average,,0.000229753,0.026210832,0.677692651,,
,,,,,,
Set 6,1,0.000227201,0.025776355,1.898650037,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.9.json'}"
Set 6,2,0.000227198,0.021584974,1.809567276,,
Set 6,3,0.000227195,0.025771498,1.896109167,,
Set 6,4,0.000227203,0.025309993,1.815819861,,
Set 6,5,0.000227204,0.025801462,1.916359004,,
Average,,0.0002272,0.024848856,1.867301069,,
,,,,,,
Set 7,1,0.000227084,0.030540519,2.035218503,,"{'data_path': '../data/2013-01-01', 'market_name': 'NYSE', 'tickers_fname': 'NYSE_tickers_qualify_dr-0.98_min-5_smooth.csv', 'relation': 'sector_industry', 'parameters': {'seq': 4, 'unit': 64, 'lr': 0.001, 'alpha': 1}, 'new_relation_graph': '../data/price_graph/NYSE_correlation_graph_0.925.json'}"
Set 7,2,0.000227076,0.030540519,2.035218503,,
Set 7,3,0.000227081,0.03082283,2.066604526,,
Set 7,4,0.000227076,0.026967676,1.948054954,,
Set 7,5,0.000227082,0.031170408,2.106876737,,
